Time,num_exposed
0,100
0.25,93
0.5,84
0.75,82
1,82
1.25,78
1.5,77
1.75,85
2,90
2.25,92
2.5,94
2.75,99
3,102
3.25,113
3.5,122
3.75,132
4,149
4.25,153
4.5,158
4.75,166
5,171
5.25,177
5.5,188
5.75,189
6,190
6.25,183
6.5,205
6.75,218
7,220
7.25,222
7.5,240
7.75,250
8,264
8.25,279
8.5,290
8.75,305
9,324
9.25,342
9.5,358
9.75,390
10,417
10.25,442
10.5,464
10.75,485
11,487
11.25,506
11.5,541
11.75,578
12,596
12.25,618
12.5,635
12.75,661
13,676
13.25,719
13.5,740
13.75,754
14,776
14.25,823
14.5,848
14.75,894
15,926
15.25,958
15.5,1023
15.75,1079
16,1138
16.25,1181
16.5,1233
16.75,1286
17,1335
17.25,1374
17.5,1421
17.75,1471
18,1526
18.25,1603
18.5,1700
18.75,1767
19,1830
19.25,1913
19.5,1982
19.75,2066
20,2161
20.25,2226
20.5,2285
20.75,2357
21,2455
21.25,2564
21.5,2656
21.75,2752
22,2821
22.25,2937
22.5,3037
22.75,3140
23,3257
23.25,3369
23.5,3519
23.75,3677
24,3831
24.25,3956
24.5,4130
24.75,4266
25,4440
25.25,4634
25.5,4823
25.75,5027
26,5226
26.25,5408
26.5,5579
26.75,5768
27,5941
27.25,6176
27.5,6398
27.75,6635
28,6848
28.25,7048
28.5,7315
28.75,7655
29,8033
29.25,8335
29.5,8712
29.75,9072
30,9406
30.25,9765
30.5,10134
30.75,10525
31,10897
31.25,11360
31.5,11774
31.75,12285
32,12754
32.25,13260
32.5,13783
32.75,14254
33,14781
33.25,15425
33.5,16076
33.75,16755
34,17480
34.25,18158
34.5,18853
34.75,19509
35,20234
35.25,20942
35.5,21662
35.75,22550
36,23365
36.25,24359
36.5,25226
36.75,26200
37,27228
37.25,28190
37.5,29110
37.75,30186
38,31354
38.25,32429
38.5,33735
38.75,34943
39,36253
39.25,37663
39.5,39037
39.75,40425
40,41870
40.25,43454
40.5,45129
40.75,46921
41,48749
41.25,50568
41.5,52313
41.75,54149
42,56191
42.25,58107
42.5,60211
42.75,62295
43,64394
43.25,66627
43.5,68780
43.75,70990
44,73448
44.25,75898
44.5,78420
44.75,80987
45,83548
45.25,86010
45.5,88696
45.75,91291
46,94098
46.25,96658
46.5,99349
46.75,102108
47,105107
47.25,108059
47.5,111031
47.75,114023
48,117018
48.25,119936
48.5,123087
48.75,126426
49,129492
49.25,132589
49.5,135865
49.75,139183
50,142309
50.25,145308
50.5,148547
50.75,151640
51,154755
51.25,157920
51.5,161058
51.75,164136
52,167044
52.25,170159
52.5,172927
52.75,175747
53,178131
53.25,180698
53.5,183283
53.75,185607
54,188057
54.25,190599
54.5,192714
54.75,194999
55,197181
55.25,199074
55.5,200797
55.75,202536
56,204302
56.25,205905
56.5,206966
56.75,207663
57,208382
57.25,208995
57.5,209680
57.75,210020
58,210002
58.25,210049
58.5,209713
58.75,209313
59,208842
59.25,208006
59.5,207065
59.75,206095
60,204958
60.25,203549
60.5,201873
60.75,200197
61,198336
61.25,196357
61.5,194468
61.75,192510
62,190322
62.25,187952
62.5,185492
62.75,182739
63,180046
63.25,177355
63.5,174511
63.75,171632
64,168516
64.25,165373
64.5,162097
64.75,158868
65,155463
65.25,152116
65.5,148697
65.75,145408
66,142169
66.25,138835
66.5,135462
66.75,132204
67,128848
67.25,125609
67.5,122299
67.75,118870
68,115681
68.25,112273
68.5,109167
68.75,105923
69,102729
69.25,99608
69.5,96568
69.75,93608
70,90727
70.25,87803
70.5,85012
70.75,82169
71,79489
71.25,76816
71.5,74122
71.75,71659
72,69310
72.25,66881
72.5,64605
72.75,62402
73,60237
73.25,58150
73.5,56134
73.75,54183
74,52296
74.25,50543
74.5,48746
74.75,46922
75,45216
75.25,43476
75.5,41946
75.75,40488
76,38924
76.25,37461
76.5,36120
76.75,34727
77,33349
77.25,32117
77.5,30915
77.75,29703
78,28519
78.25,27468
78.5,26379
78.75,25381
79,24468
79.25,23510
79.5,22598
79.75,21718
80,20926
80.25,20139
80.5,19344
80.75,18648
81,17950
81.25,17289
81.5,16655
81.75,16024
82,15455
82.25,14827
82.5,14292
82.75,13784
83,13246
83.25,12713
83.5,12267
83.75,11784
84,11376
84.25,10855
84.5,10446
84.75,10041
85,9699
85.25,9311
85.5,8961
85.75,8643
86,8322
86.25,7984
86.5,7674
86.75,7374
87,7079
87.25,6807
87.5,6549
87.75,6267
88,6048
88.25,5806
88.5,5558
88.75,5344
89,5169
89.25,4974
89.5,4804
89.75,4636
90,4482
90.25,4303
90.5,4143
90.75,4000
91,3843
91.25,3714
91.5,3577
91.75,3478
92,3375
92.25,3226
92.5,3101
92.75,2994
93,2880
93.25,2770
93.5,2652
93.75,2563
94,2487
94.25,2409
94.5,2320
94.75,2235
95,2117
95.25,2030
95.5,1953
95.75,1867
96,1810
96.25,1755
96.5,1690
96.75,1641
97,1592
97.25,1531
97.5,1460
97.75,1416
98,1356
98.25,1310
98.5,1267
98.75,1210
99,1165
99.25,1092
99.5,1044
99.75,1014
100,982
100.25,966
100.5,931
100.75,899
101,851
101.25,812
101.5,794
101.75,769
102,742
102.25,719
102.5,676
102.75,650
103,631
103.25,604
103.5,582
103.75,551
104,519
104.25,496
104.5,478
104.75,464
105,444
105.25,426
105.5,410
105.75,394
106,381
106.25,364
106.5,356
106.75,343
107,328
107.25,321
107.5,302
107.75,292
108,277
108.25,265
108.5,252
108.75,244
109,236
109.25,232
109.5,222
109.75,210
110,201
110.25,194
110.5,191
110.75,181
111,171
111.25,165
111.5,160
111.75,156
112,143
112.25,135
112.5,136
112.75,130
113,133
113.25,130
113.5,127
113.75,123
114,121
114.25,118
114.5,114
114.75,107
115,102
115.25,101
115.5,101
115.75,102
116,96
116.25,95
116.5,92
116.75,89
117,89
117.25,88
117.5,79
117.75,73
118,72
118.25,71
118.5,67
118.75,61
119,60
119.25,64
119.5,65
119.75,64
