Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,1.02273
1,1.06551
1.25,1.48386
1.5,inf
1.75,0.623981
2,0.764083
2.25,1.40952
2.5,0
2.75,1.25822
3,1.01159
3.25,1.00244
3.5,1.28448
3.75,1.01983
4,1.38538
4.25,1.24589
4.5,inf
4.75,1.92968
5,1.06531
5.25,1.48515
5.5,1.03899
5.75,1.02227
6,1.03657
6.25,-nan
6.5,1.01015
6.75,1.04273
7,1.17032
7.25,1.43446
7.5,0.868868
7.75,1.01141
8,0.933309
8.25,1.0122
8.5,1.04783
8.75,1.02106
9,1.04656
9.25,1.04768
9.5,1.05266
9.75,0.932544
10,1.15993
10.25,1.09228
10.5,0.772188
10.75,0.931644
11,0.97923
11.25,0.998318
11.5,0.995923
11.75,1.01206
12,1.07196
12.25,0.85598
12.5,0.92302
12.75,0.86175
13,1.0553
13.25,0.987911
13.5,0.949742
13.75,0.976552
14,0.919818
14.25,0.975577
14.5,1.00313
14.75,0.99256
15,0.913353
15.25,0.96831
15.5,0.994466
15.75,0.994065
16,0.984115
16.25,0.994117
16.5,1.0305
16.75,0.959345
17,0.995577
17.25,0.975492
17.5,0.885739
17.75,0.949056
18,0.967434
18.25,0.934917
18.5,0.958992
18.75,0.93896
19,0.971975
19.25,0.970642
19.5,0.991271
19.75,0.988611
20,0.962853
20.25,0.980137
20.5,0.947026
20.75,0.949115
21,0.964206
21.25,0.958789
21.5,0.912447
21.75,0.954303
22,0.983456
22.25,0.964601
22.5,0.946464
22.75,0.942097
23,0.95109
23.25,0.933036
23.5,0.960741
23.75,0.933371
24,0.964211
24.25,0.935554
24.5,0.955609
24.75,0.950845
25,0.960196
25.25,0.924759
25.5,0.965011
25.75,0.936049
26,0.927298
26.25,0.937019
26.5,0.942024
26.75,0.930021
27,0.945567
27.25,0.941523
27.5,0.959439
27.75,0.956147
28,0.943619
28.25,0.95695
28.5,0.953717
28.75,0.957018
29,0.946597
29.25,0.944036
29.5,0.940569
29.75,0.945666
30,0.947441
30.25,0.949906
30.5,0.931995
30.75,0.931898
31,0.937129
31.25,0.944738
31.5,0.947375
31.75,0.931091
32,0.948545
32.25,0.930248
32.5,0.929704
32.75,0.933211
33,0.911598
33.25,0.936219
33.5,0.915122
33.75,0.942431
34,0.92513
34.25,0.955334
34.5,0.942696
34.75,0.934809
35,0.932061
35.25,0.9306
35.5,0.933609
35.75,0.932312
36,0.936984
36.25,0.940852
36.5,0.935136
36.75,0.939472
37,0.931325
37.25,0.931852
37.5,0.923161
37.75,0.917416
38,0.932533
38.25,0.923031
38.5,0.931924
38.75,0.919187
39,0.91547
39.25,0.92733
39.5,0.919247
39.75,0.9173
40,0.922582
40.25,0.909326
40.5,0.925617
40.75,0.908528
41,0.919547
41.25,0.905883
41.5,0.912014
41.75,0.906479
42,0.913788
42.25,0.912735
42.5,0.913146
42.75,0.903271
43,0.905722
43.25,0.895303
43.5,0.895323
43.75,0.887892
44,0.905471
44.25,0.893913
44.5,0.900983
44.75,0.882802
45,0.888964
45.25,0.884167
45.5,0.885446
45.75,0.884324
46,0.89127
46.25,0.884066
46.5,0.893884
46.75,0.884066
47,0.881614
47.25,0.894626
47.5,0.886542
47.75,0.876522
48,0.881307
48.25,0.876955
48.5,0.876958
48.75,0.871571
49,0.871874
49.25,0.869679
49.5,0.866523
49.75,0.865893
50,0.874087
50.25,0.864447
50.5,0.866256
50.75,0.868148
51,0.873059
51.25,0.863443
51.5,0.857715
51.75,0.849382
52,0.863846
52.25,0.850024
52.5,0.852767
52.75,0.850337
53,0.847488
53.25,0.846695
53.5,0.841598
53.75,0.842397
54,0.840391
54.25,0.843375
54.5,0.837125
54.75,0.853083
55,0.835508
55.25,0.828304
55.5,0.820972
55.75,0.823512
56,0.83111
56.25,0.831447
56.5,0.82228
56.75,0.830841
57,0.835487
57.25,0.825228
57.5,0.821353
57.75,0.818797
58,0.822374
58.25,0.83516
58.5,0.826483
58.75,0.822092
59,0.825408
59.25,0.812233
59.5,0.814438
59.75,0.822259
60,0.812904
60.25,0.821626
60.5,0.821423
60.75,0.824529
61,0.812208
61.25,0.822126
61.5,0.813393
61.75,0.810225
62,0.815692
62.25,0.831335
62.5,0.817317
62.75,0.818544
63,0.811865
63.25,0.830082
63.5,0.825926
63.75,0.827622
64,0.820546
64.25,0.820522
64.5,0.825313
64.75,0.834276
65,0.828349
65.25,0.819621
65.5,0.8282
65.75,0.841544
66,0.830588
66.25,0.836362
66.5,0.831641
66.75,0.829881
67,0.849871
67.25,0.843795
67.5,0.840918
67.75,0.849553
68,0.847427
68.25,0.839853
68.5,0.843329
68.75,0.855403
69,0.851062
69.25,0.858385
69.5,0.853888
69.75,0.856149
70,0.854104
70.25,0.863174
70.5,0.859251
70.75,0.856387
71,0.840706
71.25,0.854214
71.5,0.864132
71.75,0.8735
72,0.87784
72.25,0.882157
72.5,0.873074
72.75,0.885861
73,0.881624
73.25,0.871408
73.5,0.901121
73.75,0.892274
74,0.88892
74.25,0.87789
74.5,0.894599
74.75,0.895578
75,0.890647
75.25,0.913923
75.5,0.920105
75.75,0.897739
76,0.907924
76.25,0.907945
76.5,0.899029
76.75,0.896428
77,0.911093
77.25,0.912594
77.5,0.900044
77.75,0.928404
78,0.910313
78.25,0.905797
78.5,0.91352
78.75,0.922492
79,0.92585
79.25,0.950597
79.5,0.944526
79.75,0.943921
80,0.939442
80.25,0.940654
80.5,0.923529
80.75,0.941474
81,0.939167
81.25,0.925061
81.5,0.95046
81.75,0.96541
82,0.951401
82.25,0.953885
82.5,0.953861
82.75,0.941531
83,0.961225
83.25,0.947987
83.5,0.962641
83.75,0.981864
84,0.967538
84.25,0.971459
84.5,0.921659
84.75,0.977351
85,0.95992
85.25,0.983778
85.5,0.9835
85.75,0.990187
86,0.986087
86.25,0.982487
86.5,0.98732
86.75,0.991833
87,0.972342
87.25,0.989401
87.5,1.0112
87.75,0.988281
88,1.01138
88.25,0.978262
88.5,1.0061
88.75,0.953942
89,1.00823
89.25,1.00065
89.5,0.981573
89.75,0.986951
90,1.02369
90.25,0.987041
90.5,1.00804
90.75,0.989375
91,1.01193
91.25,1.02217
91.5,1.05388
91.75,1.02151
92,1.02368
92.25,1.02966
92.5,1.02828
92.75,0.988052
93,1.02297
93.25,1.05254
93.5,1.02678
93.75,1.0032
94,0.885972
94.25,1.03167
94.5,1.00248
94.75,1.00783
95,1.27789
95.25,1.04582
95.5,1.02446
95.75,1.04125
96,1.04988
96.25,1.01848
96.5,1.06399
96.75,1.03477
97,1.02467
97.25,1.04666
97.5,1.02715
97.75,1.05068
98,1.07071
98.25,1.01615
98.5,1.02066
98.75,1.09583
99,1.10181
99.25,1.1159
99.5,1.04779
99.75,1.02841
100,1.03576
100.25,1.14322
100.5,1.23955
100.75,1.10886
101,1.03595
101.25,1.01356
101.5,1.25501
101.75,1.06147
102,1.02182
102.25,1.04098
102.5,1.06205
102.75,1.04037
103,inf
103.25,1.11707
103.5,1.01179
103.75,1.32569
104,1.04978
104.25,1.03786
104.5,1.00824
104.75,1.09264
105,1.12336
105.25,1.11009
105.5,1.07308
105.75,0.133578
106,1.7996
106.25,1.1315
106.5,inf
106.75,1.81619
107,1.10739
107.25,1.04714
107.5,-nan
107.75,1.02851
108,1.35384
108.25,-nan
108.5,1.08886
108.75,1.0691
109,inf
109.25,1.15734
109.5,inf
109.75,1.15734
110,-nan
110.25,inf
110.5,1.12329
110.75,inf
111,-nan
111.25,inf
111.5,1.12507
111.75,-nan
112,-nan
112.25,1.31353
112.5,inf
112.75,1.20766
113,inf
113.25,1.01813
113.5,-nan
113.75,-nan
114,1.14046
114.25,-nan
114.5,inf
114.75,-nan
115,inf
115.25,1.00173
115.5,1.22083
115.75,1.28708
116,inf
116.25,1.15748
116.5,-nan
116.75,inf
117,1.07635
117.25,inf
117.5,-nan
117.75,-nan
118,inf
118.25,-nan
118.5,-nan
118.75,-nan
119,-nan
119.25,1.22113
119.5,-nan
119.75,-nan
