Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,1
3,1
3.25,2
3.5,2
3.75,2
4,2
4.25,3
4.5,3
4.75,3
5,3
5.25,3
5.5,4
5.75,4
6,4
6.25,5
6.5,5
6.75,5
7,5
7.25,5
7.5,5
7.75,5
8,6
8.25,6
8.5,7
8.75,7
9,8
9.25,8
9.5,8
9.75,8
10,10
10.25,10
10.5,11
10.75,11
11,11
11.25,12
11.5,12
11.75,12
12,13
12.25,14
12.5,14
12.75,14
13,14
13.25,14
13.5,15
13.75,18
14,20
14.25,20
14.5,20
14.75,23
15,23
15.25,24
15.5,25
15.75,26
16,26
16.25,27
16.5,29
16.75,29
17,30
17.25,31
17.5,31
17.75,33
18,35
18.25,37
18.5,40
18.75,43
19,46
19.25,48
19.5,49
19.75,50
20,52
20.25,53
20.5,58
20.75,62
21,63
21.25,66
21.5,68
21.75,70
22,73
22.25,80
22.5,85
22.75,88
23,99
23.25,100
23.5,102
23.75,106
24,110
24.25,117
24.5,119
24.75,126
25,133
25.25,138
25.5,142
25.75,148
26,154
26.25,164
26.5,168
26.75,177
27,178
27.25,188
27.5,196
27.75,202
28,210
28.25,219
28.5,222
28.75,234
29,245
29.25,255
29.5,270
29.75,284
30,291
30.25,301
30.5,315
30.75,331
31,350
31.25,369
31.5,386
31.75,407
32,421
32.25,437
32.5,452
32.75,470
33,491
33.25,512
33.5,527
33.75,547
34,570
34.25,595
34.5,615
34.75,633
35,657
35.25,680
35.5,706
35.75,726
36,755
36.25,775
36.5,811
36.75,838
37,874
37.25,908
37.5,946
37.75,968
38,993
38.25,1032
38.5,1056
38.75,1097
39,1137
39.25,1175
39.5,1211
39.75,1247
40,1287
40.25,1321
40.5,1354
40.75,1386
41,1416
41.25,1448
41.5,1481
41.75,1515
42,1552
42.25,1583
42.5,1618
42.75,1646
43,1686
43.25,1717
43.5,1768
43.75,1801
44,1837
44.25,1866
44.5,1896
44.75,1931
45,1967
45.25,2006
45.5,2032
45.75,2057
46,2088
46.25,2117
46.5,2147
46.75,2178
47,2204
47.25,2236
47.5,2269
47.75,2288
48,2316
48.25,2340
48.5,2380
48.75,2406
49,2431
49.25,2458
49.5,2487
49.75,2520
50,2547
50.25,2567
50.5,2588
50.75,2619
51,2646
51.25,2669
51.5,2688
51.75,2712
52,2732
52.25,2757
52.5,2784
52.75,2802
53,2822
53.25,2836
53.5,2849
53.75,2867
54,2883
54.25,2904
54.5,2916
54.75,2933
55,2943
55.25,2953
55.5,2965
55.75,2985
56,2995
56.25,3008
56.5,3030
56.75,3048
57,3061
57.25,3072
57.5,3089
57.75,3102
58,3110
58.25,3120
58.5,3129
58.75,3139
59,3146
59.25,3158
59.5,3166
59.75,3178
60,3186
60.25,3191
60.5,3201
60.75,3206
61,3213
61.25,3220
61.5,3229
61.75,3236
62,3248
62.25,3259
62.5,3266
62.75,3270
63,3273
63.25,3284
63.5,3292
63.75,3300
64,3304
64.25,3305
64.5,3308
64.75,3313
65,3316
65.25,3319
65.5,3329
65.75,3334
66,3339
66.25,3342
66.5,3344
66.75,3348
67,3351
67.25,3353
67.5,3356
67.75,3360
68,3362
68.25,3364
68.5,3365
68.75,3368
69,3371
69.25,3374
69.5,3378
69.75,3378
70,3382
70.25,3384
70.5,3387
70.75,3389
71,3393
71.25,3396
71.5,3397
71.75,3398
72,3399
72.25,3402
72.5,3405
72.75,3405
73,3406
73.25,3406
73.5,3406
73.75,3409
74,3413
74.25,3415
74.5,3415
74.75,3418
75,3419
75.25,3422
75.5,3422
75.75,3423
76,3424
76.25,3425
76.5,3425
76.75,3425
77,3425
77.25,3427
77.5,3429
77.75,3430
78,3431
78.25,3432
78.5,3433
78.75,3433
79,3434
79.25,3435
79.5,3435
79.75,3435
80,3436
80.25,3436
80.5,3436
80.75,3436
81,3437
81.25,3437
81.5,3438
81.75,3438
82,3438
82.25,3438
82.5,3438
82.75,3438
83,3439
83.25,3440
83.5,3440
83.75,3441
84,3441
84.25,3441
84.5,3441
84.75,3442
85,3442
85.25,3442
85.5,3443
85.75,3443
86,3443
86.25,3443
86.5,3443
86.75,3443
87,3443
87.25,3443
87.5,3443
87.75,3443
88,3443
88.25,3443
88.5,3443
88.75,3443
89,3443
89.25,3443
89.5,3443
89.75,3443
90,3443
90.25,3443
90.5,3443
90.75,3443
91,3443
91.25,3443
91.5,3443
91.75,3444
92,3444
92.25,3444
92.5,3444
92.75,3444
93,3444
93.25,3444
93.5,3444
93.75,3445
94,3446
94.25,3447
94.5,3447
94.75,3447
95,3447
95.25,3447
95.5,3447
95.75,3447
96,3447
96.25,3447
96.5,3447
96.75,3447
97,3447
97.25,3447
97.5,3447
97.75,3447
98,3447
98.25,3447
98.5,3448
98.75,3448
99,3448
99.25,3448
99.5,3448
99.75,3448
100,3448
100.25,3448
100.5,3448
100.75,3448
101,3449
101.25,3449
101.5,3449
101.75,3449
102,3449
102.25,3449
102.5,3449
102.75,3449
103,3449
103.25,3449
103.5,3449
103.75,3449
104,3449
104.25,3449
104.5,3449
104.75,3449
105,3449
105.25,3449
105.5,3449
105.75,3449
106,3449
106.25,3449
106.5,3449
106.75,3449
107,3449
107.25,3449
107.5,3449
107.75,3449
108,3449
108.25,3449
108.5,3449
108.75,3449
109,3449
109.25,3449
109.5,3449
109.75,3449
110,3449
110.25,3449
110.5,3449
110.75,3449
111,3449
111.25,3449
111.5,3449
111.75,3449
112,3449
112.25,3449
112.5,3449
112.75,3449
113,3449
113.25,3449
113.5,3449
113.75,3449
114,3449
114.25,3449
114.5,3449
114.75,3449
115,3449
115.25,3449
115.5,3449
115.75,3449
116,3449
116.25,3449
116.5,3449
116.75,3449
117,3449
117.25,3449
117.5,3449
117.75,3449
118,3449
118.25,3449
118.5,3449
118.75,3449
119,3449
119.25,3449
119.5,3449
119.75,3449
