Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,inf
1,1.0246e-05
1.25,0.000132051
1.5,0.000277391
1.75,0.000193072
2,0.000233873
2.25,0.000508435
2.5,0.000486317
2.75,0.000478696
3,0.000563425
3.25,0.000898262
3.5,0.000247483
3.75,0.000232911
4,0.00040083
4.25,0.000408899
4.5,0.000514011
4.75,0.00513607
5,0.00153779
5.25,0.00269699
5.5,0.000482752
5.75,0.000782263
6,0.00100059
6.25,0.000152889
6.5,0.000766249
6.75,0.00121616
7,0.000670764
7.25,0.00211089
7.5,0.000626278
7.75,0.00459743
8,0.00127496
8.25,0.00397095
8.5,0.00192222
8.75,0.00194617
9,0.00425283
9.25,0.0012821
9.5,0.00141634
9.75,0.000654629
10,0.00134527
10.25,0.00185877
10.5,0.00300599
10.75,0.00274575
11,0.000847092
11.25,0.00160175
11.5,0.00208306
11.75,0.00345773
12,0.00348027
12.25,0.00168129
12.5,0.00253951
12.75,0.0017548
13,0.00100959
13.25,0.0016459
13.5,0.00204814
13.75,0.00262177
14,0.00481589
14.25,0.00328121
14.5,0.00579237
14.75,0.00484082
15,0.00372953
15.25,0.00349582
15.5,0.00193394
15.75,0.00398067
16,0.00432848
16.25,0.00673755
16.5,0.00518305
16.75,0.0057389
17,0.0059424
17.25,0.0068104
17.5,0.00767635
17.75,0.00449337
18,0.0046653
18.25,0.0079741
18.5,0.00496838
18.75,0.00762623
19,0.00797921
19.25,0.00795109
19.5,0.00745179
19.75,0.00842804
20,0.00902442
20.25,0.0104098
20.5,0.0107642
20.75,0.00606124
21,0.00957327
21.25,0.01143
21.5,0.012328
21.75,0.013706
22,0.0154765
22.25,0.0142125
22.5,0.0126501
22.75,0.0188574
23,0.0131477
23.25,0.0126452
23.5,0.0168579
23.75,0.0156723
24,0.0148923
24.25,0.0186082
24.5,0.0164655
24.75,0.0212759
25,0.0183702
25.25,0.0222649
25.5,0.0214196
25.75,0.0212215
26,0.0268637
26.25,0.0180377
26.5,0.0219668
26.75,0.0282296
27,0.0253452
27.25,0.0260942
27.5,0.0284042
27.75,0.0356302
28,0.0300174
28.25,0.0300394
28.5,0.0335234
28.75,0.0353466
29,0.0433652
29.25,0.0406165
29.5,0.0422764
29.75,0.0407246
30,0.0341363
30.25,0.0477572
30.5,0.0422573
30.75,0.0391368
31,0.0344848
31.25,0.0496743
31.5,0.0439356
31.75,0.0470758
32,0.0423239
32.25,0.0499416
32.5,0.0530525
32.75,0.0594291
33,0.0464949
33.25,0.0501731
33.5,0.0586055
33.75,0.0531643
34,0.0535468
34.25,0.0484265
34.5,0.0588802
34.75,0.0553173
35,0.0626736
35.25,0.0586972
35.5,0.0561268
35.75,0.0601165
36,0.0694954
36.25,0.0732349
36.5,0.072691
36.75,0.0773409
37,0.0797075
37.25,0.0656273
37.5,0.0672672
37.75,0.0731331
38,0.0751424
38.25,0.0807743
38.5,0.0669593
38.75,0.07882
39,0.0724187
39.25,0.0748907
39.5,0.0618639
39.75,0.0736077
40,0.0817635
40.25,0.0771206
40.5,0.0691163
40.75,0.0639005
41,0.0769744
41.25,0.084771
41.5,0.07712
41.75,0.0799202
42,0.0786253
42.25,0.078608
42.5,0.0863904
42.75,0.080726
43,0.0858099
43.25,0.0765058
43.5,0.0687444
43.75,0.0676318
44,0.0789448
44.25,0.0727005
44.5,0.0690217
44.75,0.0923356
45,0.0836917
45.25,0.0732331
45.5,0.0891149
45.75,0.0839935
46,0.0705568
46.25,0.0649379
46.5,0.0607419
46.75,0.0874398
47,0.0866051
47.25,0.0656688
47.5,0.0615946
47.75,0.110731
48,0.09597
48.25,0.0610445
48.5,0.0735103
48.75,0.0656292
49,0.0524462
49.25,0.0821732
49.5,0.0768783
49.75,0.085702
50,0.0777296
50.25,0.0715577
50.5,0.0915454
50.75,0.0531894
51,0.0547728
51.25,0.0519519
51.5,0.0557671
51.75,0.140947
52,0.0664219
52.25,0.0557629
52.5,0.0651543
52.75,0.0765535
53,0.0386342
53.25,0.0522629
53.5,0.0456562
53.75,0.0384307
54,0.0385262
54.25,0.0429717
54.5,0.0539783
54.75,0.0224693
55,0.0746973
55.25,0.026312
55.5,0.067044
55.75,0.0495011
56,0.0333742
56.25,0.0440035
56.5,0.0335586
56.75,0.0550711
57,0.101991
57.25,0.0259063
57.5,0.0330367
57.75,0.02807
58,0.0441397
58.25,0.0258103
58.5,0.0509384
58.75,0.0170316
59,0.0235525
59.25,0.0211592
59.5,0.0130443
59.75,0.0441094
60,0.0138466
60.25,0.0233253
60.5,0.0611108
60.75,0.0833566
61,0.00631969
61.25,0.0157059
61.5,0.0336615
61.75,0.00915354
62,0.0169352
62.25,inf
62.5,0.00722021
62.75,0.00885138
63,0.00871792
63.25,0.0218804
63.5,0.0199167
63.75,0.00752446
64,0.0161511
64.25,inf
64.5,0.0258867
64.75,inf
65,inf
65.25,inf
65.5,inf
65.75,0.0120914
66,0.0244275
66.25,inf
66.5,0.0106606
66.75,0.0372805
67,0.020636
67.25,inf
67.5,0.0379089
67.75,0.00287964
68,0.014209
68.25,0.00862925
68.5,0.0047468
68.75,inf
69,inf
69.25,inf
69.5,inf
69.75,0.00292082
70,0.00690805
70.25,0.001465
70.5,0.00126269
70.75,inf
71,0.00249255
71.25,0.0010278
71.5,0.00119606
71.75,inf
72,0.000563111
72.25,0.00675729
72.5,inf
72.75,inf
73,inf
73.25,inf
73.5,-nan
73.75,inf
74,inf
74.25,-nan
74.5,-nan
74.75,inf
75,inf
75.25,inf
75.5,-nan
75.75,-nan
76,inf
76.25,inf
76.5,inf
76.75,inf
77,inf
77.25,inf
77.5,inf
77.75,-nan
78,inf
78.25,inf
78.5,-nan
78.75,inf
79,0.000129898
79.25,-nan
79.5,-nan
79.75,inf
80,-nan
80.25,-nan
80.5,-nan
80.75,inf
81,-nan
81.25,-nan
81.5,-nan
81.75,inf
82,inf
82.25,-nan
82.5,-nan
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,-nan
84,-nan
84.25,0.000240661
84.5,-nan
84.75,-nan
85,inf
85.25,inf
85.5,-nan
85.75,inf
86,-nan
86.25,inf
86.5,-nan
86.75,-nan
87,-nan
87.25,-nan
87.5,-nan
87.75,-nan
88,inf
88.25,inf
88.5,-nan
88.75,0.000173949
89,inf
89.25,-nan
89.5,-nan
89.75,8.60729e-05
90,inf
90.25,-nan
90.5,-nan
90.75,-nan
91,-nan
91.25,-nan
91.5,-nan
91.75,-nan
92,-nan
92.25,0.000122033
92.5,-nan
92.75,-nan
93,-nan
93.25,-nan
93.5,-nan
93.75,-nan
94,-nan
94.25,-nan
94.5,-nan
94.75,-nan
95,-nan
95.25,-nan
95.5,-nan
95.75,-nan
96,-nan
96.25,-nan
96.5,-nan
96.75,-nan
97,-nan
97.25,-nan
97.5,-nan
97.75,-nan
98,-nan
98.25,inf
98.5,-nan
98.75,-nan
99,-nan
99.25,-nan
99.5,-nan
99.75,-nan
100,-nan
100.25,-nan
100.5,-nan
100.75,-nan
101,-nan
101.25,-nan
101.5,-nan
101.75,-nan
102,-nan
102.25,-nan
102.5,-nan
102.75,-nan
103,-nan
103.25,-nan
103.5,-nan
103.75,-nan
104,-nan
104.25,-nan
104.5,-nan
104.75,inf
105,-nan
105.25,-nan
105.5,-nan
105.75,-nan
106,-nan
106.25,-nan
106.5,-nan
106.75,-nan
107,-nan
107.25,-nan
107.5,-nan
107.75,-nan
108,-nan
108.25,-nan
108.5,-nan
108.75,-nan
109,-nan
109.25,-nan
109.5,-nan
109.75,-nan
110,-nan
110.25,-nan
110.5,-nan
110.75,-nan
111,7.58902e-06
111.25,-nan
111.5,-nan
111.75,-nan
112,-nan
112.25,-nan
112.5,-nan
112.75,-nan
113,-nan
113.25,-nan
113.5,-nan
113.75,-nan
114,-nan
114.25,-nan
114.5,-nan
114.75,-nan
115,-nan
115.25,-nan
115.5,-nan
115.75,-nan
116,-nan
116.25,-nan
116.5,-nan
116.75,-nan
117,-nan
117.25,-nan
117.5,-nan
117.75,inf
118,-nan
118.25,-nan
118.5,-nan
118.75,-nan
119,-nan
119.25,-nan
119.5,-nan
119.75,-nan
